Name;Movie
Kevin Bacon;Crazy Stupid Love
Julianne Moore;Crazy Stupid Love
Emma Stone;Crazy Stupid Love
Denise Richards;Wild Things
Kevin Bacon;Wild Things
Bill Murray;Wild Things
Scarlett Johansson;Lost in Translation
Bill Murray;Lost in Translation
Scarlett Johansson;Don Jon
Julianne Moore;Don Jon
Joseph Gordon-Levitt;Don Jon
